OBJECTID,Projects,Ward,Units,Year Built,Address,City,State,Zipcode,Management Company,Property Manager Contact,Sponsored By,Sponsory Contact,Bondholder,Loan Status (Bonds Redeemed / Active / Recently Converted),Risk Share / Non Risk Share,Renovation / New Construction Year,Building Type,Construction Type,Occupancy Type,Subsidized Programs,Loan Closing Date,Original Loan Balance,Maturity Date,Compliance Period End Date,Asset Manager,MAR_LATITUDE,MAR_LONGITUDE,MARID,GlobalID,EditDate,x,y
49,Delta Towers ,Ward 5,179,2018,808 Bladensburg Rd NE,Washington,DC,20002,DP Management,Riskshare - Corey Powell,Delta Senior Housing Owner LLC,"Corey Powell,corey@dantespartners.com",CEDE & CO,Under Construction,Risk Share ,,high rise,New Construction,Seniors 55+,"Section 8/ HAP, LRSP, PSH",9/1/2018 12:00:00 AM,48160000,,8/28/2033 12:00:00 AM,Sidney,38.90068876,-76.98344028,316453,c08c95af-9767-46cc-9a85-4898c46650e5,10/13/2022 8:33:29 PM,401436.638028077,136981.025057467
50,Douglas Knoll (LURA),Ward 8,234,1954,"3331 22nd Street, SE",Washington,DC,20020,,,Douglas Knoll Cooperative Limited Partnership ,,,Redeemed,,,,,,,1/1/2001 12:00:00 AM,10014000,,12/29/2015 12:00:00 AM,,38.84898774,-76.97444079,278376,99e4aeb6-ac5e-4bda-8621-0dd9131f6e52,10/13/2022 8:33:29 PM,402218.887602249,131242.003980602
51,East Bank (Sq 50) aka West End Sq 50,Ward 2,61,2017,"1211 23rd St NW, ",Washington,DC,20037,Capreit,"Melody Crowder 301-468-8308, mcrowder@capreit.com","APC-DC Eastbrooke Development LLC, ","Natasha Lasley, nlasley@capreit.com",JPMORGAN CHASE BANK NA,Active,Non Risk Share,2016,High Rise 9 Floors,New Construction,Residential Families 100 @ 60% AMI or less,LRSP,7/30/2015 12:00:00 AM,13372237,2/1/2036,7/26/2030 12:00:00 AM,Sidney,38.90572306,-77.04982908,310857,7d707952-c643-4243-987b-c292208d943f,10/13/2022 8:33:29 PM,395678.178987503,137540.922335395
52,Eastbrooke Apartment Homes ,Ward 7,39,2015,"323 62nd Street, NE",Washington,DC,20019,Residential One,"Louis Sigalas 301-939-4488, lsigalas@res1.net","APC-DC Eastbrooke Development LLC, ","Greg Griffith 305-357-4737, ggriffith@apcommunities.com",,Active,Non Risk Share,2014,Mid Rise 4 Floors,New Construction,Residential Families 100 @ 50% AMI or less,,5/1/2014 12:00:00 AM,4850000,,4/27/2029 12:00:00 AM,Sidney,38.89387389,-76.911934,310426,73ce3ebc-a898-449b-827d-8b6bedbae13f,10/13/2022 8:33:29 PM,407640.036568399,136228.075030034
53,Edgewood Terrace,Ward 5,292,1973,"601 Edgewood Street, NE",,,20017,Horning Brothers,"Jeff Milota , jmilota@horningbrothers.com",CPDC,,,Redeemed,Non Risk Share,,Low Rise 3 Floors ,,Residential Families 100 @ 60% AMI or less,,11/1/2014 12:00:00 AM,21570000,,10/28/2029 12:00:00 AM,Sidney,38.92390014,-76.99749766,289571,5c2bbece-cec6-400a-8f44-0041b7cc5563,10/13/2022 8:33:29 PM,400217.188016058,139557.552242829
54,Edgewood Terrace Seniors (The View),Ward 5,200,1973,"635 Edgewood St NE,",Washington,DC,20017,Horning Brothers,"Jeff Milota , jmilota@horningbrothers.com",CPDC,,,Redeemed,,,,,Seniors 55+ 100 @ 60% AMI or less,,11/1/2001 12:00:00 AM,8000000,,10/28/2016 12:00:00 AM,Sidney,38.92347943,-76.99673749,289573,daf3f704-c5fa-4040-b418-523e53173799,10/13/2022 8:33:29 PM,400283.10766157,139510.85194766
55,Euclid Street***,Ward 1,17,1909,"1034 Euclid Street, NW",Washington,DC,20001,E & G,"Carlos Rios 571-488-6683, crios@eandggroup.com - Michlle McCoy, mmccoy@eandggroup.com, Nikki Dickerson ndickerson@eandggroup.com","National Equity Fund, Tim Schalk,","Tracey Ferrara, tferrara@nefinc.org",CEDE & CO,Active,Risk Share ,,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,7/1/2004 12:00:00 AM,1650000,,6/28/2019 12:00:00 AM,Clarence,38.92353043,-77.02649349,233078,c4abebf7-2d39-401b-8dbb-455fd3397864,10/13/2022 8:33:29 PM,397702.80899426,139516.841753667
56,Faircliff Plaza East,Ward 1,,,"1350 Fairmont St NW,",Washington,DC,20009,"Eagle Point Management, LLC",Dawn Baker,Eagle Point Enterprises,,,Redeemed,,,,,,,2/1/2002 12:00:00 AM,7000000,,1/28/2017 12:00:00 AM,Clarence,38.92413332,-77.03149773,284000,33f0bd86-40b6-4991-9c12-1e604cec1629,10/13/2022 8:33:29 PM,397268.888267822,139583.905492006
57,Faircliff Plaza West,Ward 1,112,1979,"1424 Clifton Street, NW",Washington,DC,20009,Habitat  America,"Allie , Allie Engelhardt <aengelhardt@habitatamerica.com>","Faircliff Plaza West Limited Partnership c/o Eagle Point Enterprises, LLC ","Nancy Schorn,207-523-8945",,Active,Non Risk Share,2005,Low Rise 3 Floors ,Acquisition / Rehab,Residential and Grand Families 100 @ 60% AMI or less,LRSP,3/18/2005 12:00:00 AM,23840000,,3/14/2020 12:00:00 AM,Sidney,38.92238417,-77.03336349,284028,32ba2745-3a8f-4556-aa4e-3a0ceb50bb86,10/13/2022 8:33:29 PM,397107.028862753,139389.792528087
58,Fairmont I and II,Ward 1,205,1940,"1400 Fairmont Street, NW",Washington,DC,20009,Kettler,"Angela Jones, Toekeshea Manuel ","New Fairmont , LP ",,,Active,Risk Share ,2003,Mid Rise 5 Floors ,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,12/30/2002 12:00:00 AM,16125000,,12/26/2017 12:00:00 AM,Sidney,38.92422536,-77.03277391,234255,2d3b02bd-98aa-408a-a44d-d8072a265af1,10/13/2022 8:33:29 PM,397158.22863155,139594.161670953
59,Fairway Park aka MM Carver Terrace,Ward 5,405,2014,"2100 Maryland Ave, NE",Washington,DC,20002,WC Smith,"Cynthia Bertolotti, cynthiab@wcsmith.com, 202-371-1220. Mngr: 202-388-0300",WCS Carver Terrace LP,,USBank TTEE for National Finance Authority Municipal Certificates Series 2020-1,Active,Non Risk Share,2012,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,8/1/2012 12:00:00 AM,33482000,8/1/2046,7/29/2027 12:00:00 AM,Clarence,38.90437366,-76.97385914,150271,a6225b2a-9929-4c01-8f9a-3f9a142be73d,10/13/2022 8:33:29 PM,402267.617799328,137390.272937164
60,Fort View (Fort Stevens),Ward 4,62,1939,"6040 13th Street, NW",Washington,DC,20011,Habitat  America,"Katriesha Wilson, manager352@habitatamericallc.com","Fort View, LP c/o Somerset Development ","Matt Allan , mallan@somersetdev.com",CEDE & CO,Active,Non Risk Share,2011,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,4/14/2010 12:00:00 AM,9040000,4/1/2044,4/10/2025 12:00:00 AM,Sidney,38.9638798,-77.03091194,285304,dd129775-f72b-471a-9a52-0d7845727c91,10/13/2022 8:33:29 PM,397321.178907531,143996.101030832
61,Friendship Courts (Widrich Court),Ward 8,136,1950,"4632 Livingston Road, SE, ",Washington,DC,20032,CIH Properties,Lauren Daley - ldaley@cihproperties.com,,,,Active,Non Risk Share,2000,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,2/1/2000 12:00:00 AM,3575000,,1/28/2015 12:00:00 AM,Clarence,38.82286555,-77.00164548,147337,bdde989a-0858-4a28-9bd5-6f2085dabfd0,10/13/2022 8:33:29 PM,399857.308284256,128341.954266987
62,Ft. Chaplin,Ward 7,549,1962,"4214 East Capitol Street, NE",Washington,DC,20019,The Franklin Johnston Group,fortchaplinparkmgr@tfjgroup.com,Fort Chaplin Park Limited Partnership ,"Jessica Waddell, 202-396-3121","CITIBANK, N.A.",Active,Non Risk Share,2019,Garden,Acquisition / Rehab,Residential Families 40 @ 60% AMI,Section 8/ HAP ,9/30/2016 12:00:00 AM,61000000,10/1/2051,9/27/2031 12:00:00 AM,Sidney,38.89065813,-76.94166172,148680,376f431e-fc3b-4b1b-b919-10b9f34b73f0,10/13/2022 8:33:29 PM,405061.347272001,135869.032613291
63,FT. Stevens Hill (LURA),Ward 4,59,1952,"1339 Fort Stevens Dr, NW",Washington,DC,20011,Kettler,Shanetta Sapp,"THC Affordable Housing, Inc",,,Redeemed,,,Mid Rise 4 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,LRSP,,,,12/27/1914 12:00:00 AM,Sidney,38.96470107,-77.03238578,259562,586d1378-957c-4696-85fb-b5daafe54eb7,10/13/2022 8:33:29 PM,397193.479195381,144087.313953454
64,Galen Terrace,Ward 8,84,1968,"1649 W. Street, SE, Unit B1,",Washington,DC,20020,Eagle Point,Farrah Williamson - gtamanager@eaglepointco.com,NHT Communities,"Shola Giwa O: 202-333-8931 x 154 ,C: 213-272-8473 sgiwa@nhtinc.org",EMBASSY & CO,Active,Non Risk Share,2007,Garden / Townhouse,Rehab / New Construction,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,3/1/2006 12:00:00 AM,5660000,2/1/2049,2/25/2021 12:00:00 AM,Clarence,38.86277033,-76.98141933,148153,2623c3e0-dd6f-4837-91b7-fc7f8601daa2,10/13/2022 8:33:29 PM,401612.797953629,132771.823536639
65,Garfield Hills,Ward 8,94,1949,"2317 Hartford Street, SE",Washington,DC,20020,POAH,"Monique Alston, malston@poahcommunities.com",POAH DC,"Tony Waddell, 240-437-3339",,Active,Non Risk Share,2007,Garden,Rehab / New Construction,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,5/10/2006 12:00:00 AM,5110000,,5/6/2021 12:00:00 AM,Sidney,38.85365934,-76.97212461,148209,38176346-1a14-45fd-bb51-23cc1757b00b,10/13/2022 8:33:29 PM,402419.787293813,131760.643403588
66,Garfield Park (Maplewood Courts),Ward 8,94,1966,"2306 Hartford Street, SE",Washington,DC,20020,Vesta,Pamela Cromartie - pcromartie@vestacorp.com,Vesta Corporation,,,Active,Non Risk Share,2019,Garden,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,,8/1/1999 12:00:00 AM,3260000,,7/28/2014 12:00:00 AM,Sidney,38.85503641,-76.97228352,286806,7618953b-6bc0-4e7f-b8c2-0add58fa782f,10/13/2022 8:33:29 PM,402405.947466641,131913.503773104
67,Georgia Commons  (Three Tree Flats),Ward 4,130,2011,"3910 Georgia Avenue, NW",Washington,DC,20011,Residential One,"Louis Sigalas 301-939-4488, lsigalas@res1.net",3910 Georgia Avenue Associates Limited Partnership 1-A ,"Loretta Gaegler, lgaegler@res1.net",FEDERAL HOME LOAN MORTGAGE CORPORATION,Redeemed,Non Risk Share,2011,Mid Rise 6 Floors,Acquisition / New Construction,Residential Families 92% @ 60% or less and Market ,,6/1/2009 12:00:00 AM,16695000,3/20/2051,5/28/2024 12:00:00 AM,Sidney,38.93918406,-77.02506061,224826,1cd72dc8-8e7a-491f-960b-69cd3871f7f4,10/13/2022 8:33:29 PM,397827.538584776,141254.494681143
68,Glen Crest Family Rental ,Ward 7,61,,"3600 B Street, SE",Washington,DC,20019,E & G,Thomas Gallagher,,,,Redeemed,,,,,Seniors 55+ 100 @ 60% AMI or less,,,,,12/27/1914 12:00:00 AM,Clarence,38.88810641,-76.95215226,301154,3224d5c0-9b7a-4af4-8d49-0858e74d10db,10/13/2022 8:33:29 PM,404151.386918423,135585.242574223
69,Golden Rule Apartments,Ward 6,183,1971,"901 New Jersey Avenue, NW",Washington,DC,20001,Columbus Property Management,Susan McMichael 215-557-8484 x3211 smcmichael@columbuspm.org,Golden Rule Limited Partnership ,c/o Bible Way Church Attn: President,CEDE & CO,Active,Non Risk Share,2006,High Rise,Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,7/1/2006 12:00:00 AM,12600000,5/1/2048,6/27/2021 12:00:00 AM,Clarence,38.9018665,-77.01287352,238376,49587240-07d1-4506-8be9-709afc6241bd,10/13/2022 8:33:29 PM,398883.528658456,137111.712150925
70,Golden Rule Plaza,Ward 6,119,,"1050 New Jersey Avenue, NW",Washington,DC,20001,Columbus Property Management,Yvonne Queen yqueen@columbuspm.org ,Mission First,,,Redeemed,,,,,,,6/1/2002 12:00:00 AM,8870000,,5/28/2017 12:00:00 AM,Clarence,38.90327434,-77.0145127,300893,45c175ac-d823-47b2-9e37-727099944cdf,10/13/2022 8:33:29 PM,398741.368449658,137268.015045219
71,Hanover Courts (Hanover/Knox street),Ward 8,74,,"2412 Hartford St, SE",Washington,DC,20020,Patriot Management,Pamela Comartie,,,,Redeemed,,,,,,,10/1/2000 12:00:00 AM,4610800,,9/28/2015 12:00:00 AM,,38.85425668,-76.97132518,148200,73cf208d-dffa-4ea9-8056-4dc0b5ea1a80,10/13/2022 8:33:29 PM,402489.157145645,131826.97388076
72,Tivoli Gardens ,Ward 5,90,2020,4811 North Capitol Street NE,washington,DC,20011,TM Associates,"Amy Brown 240-428-7799 ext. 221, abrown@tmadevelopment.com","EquityPlus, LLC Manna and Tivoli Gardens Member (REBJ, Inc.) ","Carol Noland , cnoland@equityplusllc.com",JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2020,Mid Rise,New Construction,Residential Families 100 @ 60% AMI or less,"LRSP, PSH",1/30/2020 12:00:00 AM,16900000,,1/26/2035 12:00:00 AM,Sidney,38.94930209,-77.00845809,288280,0ac961d9-ab83-4dd7-8bb0-5f29bf4040d1,10/13/2022 8:33:29 PM,399267.018023065,142377.421837885
73,Hanover Court ,Ward 8,90,2020,2410 Hartford Street SE,washington,DC,20011,TM Associates,"Amy Brown 240-428-7799 ext. 221, abrown@tmadevelopment.com","EquityPlus, LLC Manna and Tivoli Gardens Member (REBJ, Inc.) ","Carol Noland , cnoland@equityplusllc.com",JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2020,Mid Rise,New Construction,Residential Families 100 @ 60% AMI or less,"LRSP, PSH",1/30/2020 12:00:00 AM,16900000,,1/26/2035 12:00:00 AM,Sidney,38.85439319,-76.97146648,148202,e362fa2a-6bde-4e1e-9e07-3b1d0b33c7ec,10/13/2022 8:33:29 PM,402476.887644813,131842.123619311
74,Haven House,Ward 1,29,1910,"1477 Newton Street, NW",Washington,DC,20010,E & G,Nikki Dickerson <ndickerson@eandggroup.com>,"SAFE haven Outreach Ministry, Inc.",,,Redeemed,Risk Share ,2000,Mid Rise 4 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,6/1/2000 12:00:00 AM,1645000,,5/29/2015 12:00:00 AM,Clarence,38.9328559,-77.03452393,234585,72aa537b-b8d1-415c-ac60-d311fafa4950,10/13/2022 8:33:29 PM,397006.839074201,140552.281486226
75,HELP Walter Reed,Ward 4,77,2021,"1324 Main Drive, NW",Washington,DC,20307,HELP,Ava Wu 212-400-8206,"HELP USA, ","David Cleghorn, dcleghorn@helpusa.org","TD Bank, NA",Active,Non Risk Share,2020,Mid Rise,New Construction,Homeless Veterans & Individuals ,PSH,4/1/2018 12:00:00 AM,9541577,11/1/2021,3/28/2033 12:00:00 AM,Clarence,38.97345391,-77.0311387,316865,e6cb6266-1d46-4636-be70-5dea3c5e1a7d,10/13/2022 8:33:29 PM,397301.889041495,145058.924224393
76,Henson Ridge I,Ward 8,124,2003,"1804 Alabama Avenue, SE",Washington,DC,20020,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",Mid Atlantic Urban,"Shelly Griffith, hensonmgr@emcmgmt.com",,Active,Risk Share ,,Townhouse,New Construction,Residential Families 100 @ 60% AMI or less,ACC,10/1/2002 12:00:00 AM,4140000,,9/27/2017 12:00:00 AM,Clarence,38.84795152,-76.97895657,277969,5d892a07-c9ea-448b-a982-4c98956d03ef,10/13/2022 8:33:29 PM,401826.91787833,131126.876247946
77,Henson Ridge II,Ward 8,156,2007,"1804 Alabama Avenue, SE",Washington,DC,20020,Edgewood,"Sandy Thomas, sthomas@emcmgmt.com",Mid Atlantic Urban,"Shelly Griffith, hensonmgr@emcmgmt.com",,Active,Risk Share ,,Townhouse,New Construction,Residential Families 100 @ 60% AMI or less,,2/28/2005 12:00:00 AM,13500000,,2/25/2020 12:00:00 AM,Clarence,38.84795152,-76.97895657,277969,f8055f2a-1219-4b10-a9ce-e6ff793c9d4f,10/13/2022 8:33:29 PM,401826.91787833,131126.876247946
78,Henson Ridge UFAS,Ward 8,22,2003,"1556 Alabama Avenue, SE",Washington,DC,20032,Edgewood,Carris Wiggins - Hensonmgr@emcmgmt.com,"AccessiBuild I, LP (Affiliate entity of the DCHA and DCHE)","Shelly Griffith, hensonmgr@emcmgmt.com",EMBASSY & CO,Active,Non Risk Share,2007,Townhouse,Acquisition / Rehab / New Construction,Seniors 55+,,2/1/2008 12:00:00 AM,5500000,12/1/2050,1/28/2023 12:00:00 AM,Clarence,38.8470232,-76.98063537,300911,b962b8e7-fcca-48de-b8eb-258f4abef2fe,10/13/2022 8:33:29 PM,401681.207915004,131023.793985577
79,Highland Dwellings,Ward 8,208,2014,"508 Atlantic St, SE",Washington,DC,20032,CIH Properties,"Lori Baker, Lbaker@cihproperties.com","Highland Residential, Limited Partnership","Cheromie Johnson, chjohnson2@dchousing.org","CAPITAL ONE, NATIONAL ASSOCIATION / CITIBANK NA",Active,Non Risk Share,2014,Garden,Acquisition / Rehab / New Construction,Residential Families 100 @ 60% AMI or less,,10/24/2014 12:00:00 AM,35510000,12/1/2032,10/20/2029 12:00:00 AM,Clarence,38.83124145,-76.99914497,290941,2d9bbd45-39c8-4370-a027-1da07a69fd68,10/13/2022 8:33:29 PM,400074.437991443,129271.73378094
80,Hill East,Ward 7,100,2021,"1900 C Street SE, Washington, DC 20003",Washington,DC,20003,Kettler,,Donatelli Development,,,Under Construction,Risk Share ,2021,Mid Rise 5 Floors ,New Construction,Womens Shelter 100% @ 30% AMI,100% LRSP,9/9/2021 12:00:00 AM,54475000,,9/5/2036 12:00:00 AM,Sidney,38.88574152,-76.97649306,314741,cb43890c-9ac1-4243-9e3e-695cfb01248b,10/13/2022 8:33:29 PM,402039.688009626,135321.896225451
81,Hilltop Apartments ,Ward 7,106,1966,"908 Eastern Ave, NE",Washington,DC,20019,Winn Residential,Risha Williams rkwilliams@winnco.com (Divisional Vice President),Eastern Avenue Redevelopment Limited Partnership,"Binh Ly, bly@winnco.com",CEDE & CO,Active,Non Risk Share,2018,Garden ,Acquisition / Rehab,Residential Families 92% @ 80% or less + Mark to Market ,,12/28/2017 12:00:00 AM,12999000,1/1/2021 - 7/1/2038,12/24/2032 12:00:00 AM,Sidney,38.90203655,-76.92156811,151205,e4612f1b-976f-4e69-8a3e-74b80b3c6d2a,10/13/2022 8:33:29 PM,406803.486896257,137133.432724498
82,Hines International (Hines I),Ward 6,17,2014,700 C St SE,Washington,DC,20003,Capreit,"Natasha Lashley, nlasley@capreit.com","Dantes Partner/ Eastbanc, Inc. / Statnton Development",,JPMORGAN CHASE BANK NA,Active,Non Risk Share,2014,Mid Rise 5 Floors ,New Construction,"Senoirs, Residential Families 100 @ 60% AMI",,,,,12/27/1914 12:00:00 AM,Sidney,38.88616864,-76.99585515,313099,18fb85df-c7f8-440b-95b7-fe9c957350f2,10/13/2022 8:33:29 PM,400359.807995361,135369.055457655
83,Hines Senior (Hines II),Ward 6,17,2015,700 C St SE,Washington,DC,20003,Capreit,"Natasha Lashley, nlasley@capreit.com",East Bank,,JPMORGAN CHASE BANK NA,Active,Non Risk Share,2015,Low Rise,New Construction,Seniors 55+,,5/15/2015 12:00:00 AM,7600000,11/1/2035,5/11/2030 12:00:00 AM,Sidney,38.88616864,-76.99585515,313099,395ad7d6-9d90-4309-931a-f81be7e97c49,10/13/2022 8:33:29 PM,400359.807995361,135369.055457655
84,Homestead Apartments,Ward 4,55,1939,"812 Jefferson St NW,",Washington,DC,20011,Winn Residential,Stacie Ringold sringold@winnco.com  (Regional Manager)   Kareem Slater kslater@winnco.com  (Senior Vice President),"The Hampstead Group, Inc.",,"CITIBANK, N.A.",Active,Non Risk Share,2017,Garden,,Residential Families 80 @ 60% or less AMI + Market Rate ,,7/1/2016 12:00:00 AM,6500000,2/1/2049,6/28/2031 12:00:00 AM,Sidney,38.95490709,-77.02474275,254711,3ebfd6ee-b4c0-44fd-90de-480f6cdcc76e,10/13/2022 8:33:29 PM,397855.568947924,142999.884410933
85,House of Lebanon (MM Washington),Ward 5,82,2014,"27 O Street, NW",Washington,DC,20001,Columbus Property Management,Alfredo de la Pena   adelapena@columbuspm.org,Mission First Housing Development Corporation,,CEDE & CO,Active,Non Risk Share,2012,Mid Rise 4 Floors  ,Acquisition / Rehab,Seniors 55+ 100 @ 60% AMI or less,,7/1/2012 12:00:00 AM,12120000,12/1/2044,6/28/2027 12:00:00 AM,Clarence,38.90881319,-77.01027416,294464,35a3b4cc-955a-448f-b325-7dbea6634c16,10/13/2022 8:33:29 PM,399109.088049606,137882.822413871
86,Huntington Village (Hunter Pines),Ward 8,252,1940,"3526 Stanton Road, SE",Washington,DC,20020,WC Smith,George Pollard  gpollard@wcsmith.com ,,,,Redeemed,Non Risk Share,2005,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,1/1/2006 12:00:00 AM,10633000,,12/28/2020 12:00:00 AM,Clarence,38.84396007,-76.97864374,299292,5ed190bf-eda6-49b6-88d5-6f699c061418,10/13/2022 8:33:29 PM,401854.177399663,130683.803802089
87,"Juniper Court aka 7611 & 7701 Georgia Avenue, NW",Ward 4,95,1932,"7611 & 7701 Georgia Avenue, NW",Washington,DC,20012,WC Smith,"Cynthia Bertolotti 202-408-3217 , cynthiab@wcsmith.com","William C. Smith & Co. Inc., ","Clare J. McCabe 202-465-7037, cjmccabe@wcsmith.com","STI INSTITUTIONAL & GOVERNMENT, INC.",Active,Non Risk Share,2016,Mid Rise 6 Floors,Acquisition / Rehab / New Construction,Residential Families 85% @ 60% AMI and Market ,,12/10/2014 12:00:00 AM,11186000,12/1/2033,12/6/2029 12:00:00 AM,Clarence ,38.98244099,-77.0261306,253717,59b28199-a75d-400b-9807-d674debc467d,10/13/2022 8:33:29 PM,397736.149142867,146056.440618251
88,JW King ,Ward 7,74,2005,"4638 H Street, SE",Washington,DC,20019,Columbus Property Management,Vanessa Jones <vjones@columbuspm.org>,JW King Senior LP,,,Redeemed,Risk Share ,2005,Mid Rise,New Construction,Seniors 55+,,8/1/2004 12:00:00 AM,5290000,,7/29/2019 12:00:00 AM,Clarence,38.87897678,-76.93273978,300715,49a59717-0d22-46b5-9f1a-931d03751cee,10/13/2022 8:33:29 PM,405836.327217236,134572.845669837
89,Kenilworth Apts 166,Ward 7,166,2022,"4501 Quarles Street, NE, Washington, DC 20019",Washington,DC,20019,"Michaels Management Affordable,",,Michaels Group,,Freddie Tel/Grandbridge,Under Construction,Non Risk Share,2022,Low Rise 4 Floors,New Construction,Seniors 55+ 100% @ 50% AMI ,LRSP/PSH units - Open Arms House ,,,,,Clarence,38.91171418,-76.93664621,156067,e445af81-d135-4af1-a304-63f5a0ff1784,10/13/2022 8:33:29 PM,405494.846699016,138206.712429417
90,King Towers,Ward 2,129,1972,"1220 12th Street, NW",Washington,DC,20005,Edgewood,Albe Alverenga - kingtowers@emcmgmt.com,"King Towers, LLC ",,CEDE & CO,Active,Non Risk Share,2011,High Rise 10 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,8/1/2010 12:00:00 AM,15610000,1/1/2044,7/28/2025 12:00:00 AM,Clarence,38.90627252,-77.02846042,240913,5f52e736-ec7a-4789-8670-5b38e0cbd930,10/13/2022 8:33:29 PM,397531.648896315,137601.122043774
91,Langdon Lofts,Ward 5,33,2017,2613-2615 Bladensburg Road NE,Washington,DC,20018,Corvus Property Intelligence,Henry Rodgriguez,SA+A Development,,CEDE & CO,Active,Non Risk Share,,Mid Rise,,Residential Families 100 @ 60% AMI or less,,4/20/2016 12:00:00 AM,5340000,5/1/2056,4/17/2031 12:00:00 AM,Sidney,38.92408383,-76.96614906,150462,fb4651ff-cc50-42e8-abce-72c10780ae58,10/13/2022 8:33:29 PM,402935.56747319,139578.484590936
92,Liberty Place Apartments,Ward 6,67,2018,"901 3rd Street, NW",Washington,DC,20001,Edgewood,Y'Nona Hunter-Richardson    mayfairmgr@emcmgmt.com,"Rob Richardson 202-580-8882, rob@ibfdevelopment.com",Kevin White,CEDE & CO,Under Construction,Non Risk Share,2018,High Rise 9 Floors,New Construction,Residential Families 100 @ 60% AMI or less,"LRSP, PSH",6/19/2018 12:00:00 AM,16800000,6/1/2021,6/15/2033 12:00:00 AM,Clarence,38.90170998,-77.01481881,238361,11ea06bc-8a96-4309-bf73-3d58661a8284,10/13/2022 8:33:29 PM,398714.788316263,137094.362771505
93,Longfellow Arms**,Ward 4,30,1964,"506 Longfellow Street, NW",Washington,DC,20011,Armiger Management,Pim Kuhn - plm@armigermanagement.com,Orchard Development,"Bob Williams, bob@orcharddevelopment.com",,Active,Non Risk Share,2009,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,7/1/2008 12:00:00 AM,4300000,,6/28/2023 12:00:00 AM,Clarence,38.95722271,-77.02066657,246737,eee482fc-8629-4214-aaa8-e3ce16b28764,10/13/2022 8:33:29 PM,398208.938513218,143256.85155716
94,Maple View Flats ,Ward 8,114,1965,"2228 Martin Luther King Ave, SE",Washington,DC,20020,Kettler,Teri Pike Teri Pike <TPike@kettler.com>,Timothy Chapman / Bret Green ,,Federal Home Loan Mortgage Corporation,Active,Non Risk Share,2019,Mid Rise 5 Floors ,Acquisition / New Construction,Residential Families 100 @ 60% AMI,,1/13/2017 12:00:00 AM,25090176,2/1/2038,1/10/2032 12:00:00 AM,Sidney,38.86337871,-76.99062409,49963,a22cff46-1e9d-42e7-9e00-ad317519a642,10/13/2022 8:33:29 PM,400813.918019652,132839.235839653
95,Maplewood Courts Apartments,Ward 8,94,2018,"2306 Hartford Street, SE",Washington,DC,20020,Vesta,Kathleen Leonard <kleonard@vestacorp.com>,Vesta Corporation,,,Redeemed,Non Risk Share,,,,,,,,,12/27/1914 12:00:00 AM,Sidney,38.85503641,-76.97228352,286806,9b5be068-ad66-4946-82fc-fe4704fa3a1f,10/13/2022 8:33:29 PM,402405.947466641,131913.503773104
96,Mass Place Apartments ,Ward 2,160,,1111 Mass Ave. NW ,Washington,DC,20005,Quantum Real Estate Management,"Indira Hall, ihall@nhtinc.org","National Housing Trust, ","Edward Pauls, epauls@nhtinc.org",CEDE & CO,Under Construction,Non Risk Share,2018,High Rise 10 Floors,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,10/26/2018 12:00:00 AM,18500000,11/1/2020 - 11/1/2038,10/22/2033 12:00:00 AM,Sidney,38.90446962,-77.02760322,239117,82a6fc83-d00e-4b51-9cae-d6abb75a3f76,10/13/2022 8:33:29 PM,397605.938659854,137400.962715877
97,Matthew Memorial Terrace ,Ward 8,99,2010,"2632 MLK Jr. Ave, SE",Washington,DC,20020,,,,,,Redeemed,Non Risk Share,2010,Mid Rise 6 Floors ,Acquisition / Demolish / New Construction,Residential Families 100 @ 60% AMI or less,ACC,9/1/2010 12:00:00 AM,10280000,,8/28/2025 12:00:00 AM,,38.85761575,-76.99549377,278197,4c9f80d5-a7e3-4765-bc74-62b6eea848ae,10/13/2022 8:33:29 PM,400391.31795177,132199.473463518
